config_bits,fair_func,load_id,weight_new
000001,efficient,15,1.2808851153869258
100001,efficient,1,1.4999635475772353
100001,efficient,2,1.2813958160396035
100001,efficient,3,1.2820296447347004
100001,efficient,4,1.0000169807052361
100001,efficient,5,1.499939414823195
100001,efficient,6,1.0003030495157583
100001,efficient,7,1.4931613358966311
100001,efficient,8,1.5000000148036852
100001,efficient,9,1.2812428068887802
100001,efficient,10,1.5000000146519286
100001,efficient,11,1.0001317361255595
100001,efficient,12,1.0000133019591304
100001,efficient,13,1.28131802581387
100001,efficient,14,1.5000000136487217
100001,efficient,15,1.4999869162452066
110001,efficient,1,1.5000000147871206
110001,efficient,2,1.5000000135767733
110001,efficient,3,1.500000014916535
110001,efficient,4,1.5000000148018633
110001,efficient,5,1.5000000147496764
110001,efficient,6,1.000309460446739
110001,efficient,7,1.495027285091498
110001,efficient,8,1.5000000148037085
110001,efficient,9,1.5000000147161063
110001,efficient,10,1.5000000146519696
110001,efficient,11,1.5000000147161066
110001,efficient,12,1.5000000146669985
110001,efficient,13,1.5000000148748112
110001,efficient,14,1.500000013648881
110001,efficient,15,1.5000000147496355
001001,efficient,1,1.499968460999299
001001,efficient,2,1.0001066712789253
001001,efficient,3,1.4999380941182474
001001,efficient,4,1.0000210417513664
001001,efficient,5,1.0000476036262953
001001,efficient,6,1.000204758287918
001001,efficient,7,1.0000576674915664
001001,efficient,8,1.5000000149287809
001001,efficient,9,1.000186883031052
001001,efficient,10,1.5000000148737267
001001,efficient,11,1.4869014105541718
001001,efficient,12,1.0002552145580734
001001,efficient,13,1.0006949533642169
001001,efficient,14,1.5000000145097838
001001,efficient,15,1.0000463069006982
101001,efficient,1,1.0000207981459597
101001,efficient,2,1.0002561378001666
101001,efficient,3,1.000483846672652
101001,efficient,4,1.4994861336976122
101001,efficient,5,1.0009584090279984
101001,efficient,6,1.0031433605363982
101001,efficient,7,1.0003950919456133
101001,efficient,8,1.5000000148036854
101001,efficient,9,1.4999627822445412
101001,efficient,10,1.5000000146519288
101001,efficient,11,1.000540643851792
101001,efficient,12,1.499966466826388
101001,efficient,13,1.4999855439273022
101001,efficient,14,1.500000013648722
101001,efficient,15,1.000008550358401
111001,efficient,1,1.5000000147870691
111001,efficient,2,1.5000000135736993
111001,efficient,3,1.500000014916544
111001,efficient,4,1.500000014801817
111001,efficient,5,1.5000000147495784
111001,efficient,6,1.5000000148748298
111001,efficient,7,1.500000014749614
111001,efficient,8,1.5000000148036556
111001,efficient,9,1.5000000147160062
111001,efficient,10,1.5000000146517936
111001,efficient,11,1.5000000147160062
111001,efficient,12,1.5000000146668504
111001,efficient,13,1.5000000148747974
111001,efficient,14,1.5000000136460665
111001,efficient,15,1.5000000147496029
000101,efficient,1,1.499913424450099
000101,efficient,2,1.0005213650154454
000101,efficient,3,1.5000000149164938
000101,efficient,4,1.000043633949752
000101,efficient,5,1.500000014749502
000101,efficient,6,1.0003037141748687
000101,efficient,7,1.4950881833117227
000101,efficient,8,1.500000014803703
000101,efficient,9,1.0006782571363755
000101,efficient,10,1.50000001465196
000101,efficient,11,1.0006102492284694
000101,efficient,12,1.0001423725588539
000101,efficient,13,1.4998883547101376
000101,efficient,14,1.500000013648844
000101,efficient,15,1.5000000147494887
100101,efficient,1,1.5000000147869792
100101,efficient,2,1.5000000135758558
100101,efficient,3,1.500000014916489
100101,efficient,4,1.500000014801735
100101,efficient,5,1.5000000147494155
100101,efficient,6,1.4967268737521993
100101,efficient,7,1.4942164758886003
100101,efficient,8,1.500000014803702
100101,efficient,9,1.5000000147159176
100101,efficient,10,1.5000000146519583
100101,efficient,11,1.500000014715918
100101,efficient,12,1.5000000146667831
100101,efficient,13,1.5000000148747068
100101,efficient,14,1.5000000136488374
100101,efficient,15,1.500000014749615
001101,efficient,1,1.499968537676976
001101,efficient,2,1.000107476204493
001101,efficient,3,1.5000000149697095
001101,efficient,4,1.0000210488042902
001101,efficient,5,1.5000000149091244
001101,efficient,6,1.5000000149545742
001101,efficient,7,1.5000000149091637
001101,efficient,8,1.5000000149287926
001101,efficient,9,1.0001862368211043
001101,efficient,10,1.5000000148737476
001101,efficient,11,1.483830967300258
001101,efficient,12,1.0002634921655182
001101,efficient,13,1.0006340115371841
001101,efficient,14,1.5000000145098646
001101,efficient,15,1.5000000149091324
101101,efficient,1,1.500000014787118
101101,efficient,2,1.5000000135736773
101101,efficient,3,1.5000000149165102
101101,efficient,4,1.500000014801814
101101,efficient,5,1.5000000147494792
101101,efficient,6,1.5000000148747783
101101,efficient,7,1.5000000147495167
101101,efficient,8,1.5000000148036763
101101,efficient,9,1.5000000147160713
101101,efficient,10,1.5000000146518304
101101,efficient,11,1.5000000147160715
101101,efficient,12,1.5000000146668453
101101,efficient,13,1.5000000148747805
101101,efficient,14,1.5000000136462097
101101,efficient,15,1.5000000147494919
011101,efficient,1,1.500000014787032
011101,efficient,2,1.5000000135732836
011101,efficient,3,1.5000000149164991
011101,efficient,4,1.5000000148017592
011101,efficient,5,1.50000001474943
011101,efficient,6,1.5000000148747663
011101,efficient,7,1.5000000147495194
011101,efficient,8,1.5000000148036703
011101,efficient,9,1.5000000147159565
011101,efficient,10,1.5000000146518195
011101,efficient,11,1.5000000147159567
011101,efficient,12,1.5000000146667534
011101,efficient,13,1.5000000148747519
011101,efficient,14,1.500000013646168
011101,efficient,15,1.5000000147494457
000011,efficient,1,1.499912497096945
000011,efficient,2,1.0005279637287303
000011,efficient,3,1.0000848583089499
000011,efficient,4,1.0000438353925123
000011,efficient,5,1.4803634167098108
000011,efficient,6,1.5000000148747368
000011,efficient,7,1.5000000147494805
000011,efficient,8,1.5000000148036952
000011,efficient,9,1.0006400482431108
000011,efficient,10,1.5000000146519463
000011,efficient,11,1.0005940901027766
000011,efficient,12,1.0001432594544195
000011,efficient,13,1.4998874299422413
000011,efficient,14,1.5000000136487903
000011,efficient,15,0.9999999902610595
100011,efficient,1,1.4999726401252031
100011,efficient,2,1.0007849469095977
100011,efficient,3,1.4990285844431555
100011,efficient,4,1.0000188495144122
100011,efficient,5,1.4968448660508347
100011,efficient,6,1.5000000148747368
100011,efficient,7,1.5000000147494805
100011,efficient,8,1.5000000148036952
100011,efficient,9,1.0000756422713615
100011,efficient,10,1.5000000146519463
100011,efficient,11,1.0001531513539854
100011,efficient,12,1.0001045331016092
100011,efficient,13,1.4995124843962369
100011,efficient,14,1.5000000136487903
100011,efficient,15,1.4999354847759458
010011,efficient,1,1.5000000147870562
010011,efficient,2,1.5000000135780696
010011,efficient,3,1.000084856009058
010011,efficient,4,1.5000000148020374
010011,efficient,5,1.494954377630389
010011,efficient,6,1.5000000148754276
010011,efficient,7,1.5000000147525487
010011,efficient,8,1.5000000148037087
010011,efficient,9,1.50000001471602
010011,efficient,10,1.50000001465197
010011,efficient,11,1.5000000147160226
010011,efficient,12,1.5000000146672972
010011,efficient,13,1.5000000148749524
010011,efficient,14,1.500000013648883
010011,efficient,15,1.0061206421326085
110011,efficient,1,1.5000000147876642
110011,efficient,2,1.5000000135786147
110011,efficient,3,1.500000014916739
110011,efficient,4,1.500000014802498
110011,efficient,5,1.5000000147503416
110011,efficient,6,1.5000000148746748
110011,efficient,7,1.500000014749645
110011,efficient,8,1.5000000148036323
110011,efficient,9,1.5000000147167987
110011,efficient,10,1.500000014651752
110011,efficient,11,1.5000000147168018
110011,efficient,12,1.5000000146679928
110011,efficient,13,1.5000000148753045
110011,efficient,14,1.500000013645905
110011,efficient,15,1.5000000147508499
001011,efficient,1,1.4999130580647881
001011,efficient,2,1.0005512165225756
001011,efficient,3,1.5000000149165151
001011,efficient,4,1.0000437812138587
001011,efficient,5,1.5000000147495431
001011,efficient,6,1.5000000148747559
001011,efficient,7,1.500000014749509
001011,efficient,8,1.500000014803705
001011,efficient,9,1.0002472821252466
001011,efficient,10,1.5000000146519636
001011,efficient,11,1.0005765880136084
001011,efficient,12,1.0002011239371735
001011,efficient,13,1.499863932543862
001011,efficient,14,1.5000000136488578
001011,efficient,15,1.5000000147495225
101011,efficient,1,1.5000000147871422
101011,efficient,2,1.500000013573974
101011,efficient,3,1.5000000149165271
101011,efficient,4,1.500000014801854
101011,efficient,5,1.5000000147495411
101011,efficient,6,1.5000000148747386
101011,efficient,7,1.500000014749375
101011,efficient,8,1.5000000148036334
101011,efficient,9,1.5000000147161037
101011,efficient,10,1.500000014651754
101011,efficient,11,1.500000014716104
101011,efficient,12,1.5000000146669137
101011,efficient,13,1.500000014874816
101011,efficient,14,1.5000000136459126
101011,efficient,15,1.500000014749497
011011,efficient,1,1.500000014786628
011011,efficient,2,1.5000000135853975
011011,efficient,3,1.5000000149192465
011011,efficient,4,1.5000000148033596
011011,efficient,5,1.500000014745171
011011,efficient,6,1.5000000148817334
011011,efficient,7,1.5000000147765782
011011,efficient,8,1.5000000148036061
011011,efficient,9,1.5000000147154202
011011,efficient,10,1.5000000146517056
011011,efficient,11,1.5000000147154329
011011,efficient,12,1.50000001466954
011011,efficient,13,1.5000000148760089
011011,efficient,14,1.5000000136457239
011011,efficient,15,1.5000000147506298
000111,efficient,1,1.4999044045558207
000111,efficient,2,1.000579406762662
000111,efficient,3,1.500000014916497
000111,efficient,4,1.0000435405954895
000111,efficient,5,1.500000014749502
000111,efficient,6,1.5000000148747428
000111,efficient,7,1.5000000147494912
000111,efficient,8,1.5000000148037125
000111,efficient,9,1.0001722948261667
000111,efficient,10,1.500000014651977
000111,efficient,11,1.0004883795997324
000111,efficient,12,1.0001483376343432
000111,efficient,13,1.4998653346179747
000111,efficient,14,1.5000000136489096
000111,efficient,15,1.5000000147494963
100111,efficient,1,1.5000000147871044
100111,efficient,2,1.5000000135736276
100111,efficient,3,1.5000000149165038
100111,efficient,4,1.500000014801807
100111,efficient,5,1.5000000147494792
100111,efficient,6,1.5000000148747246
100111,efficient,7,1.5000000147493975
100111,efficient,8,1.5000000148036723
