fair_func,weight_max,step_size,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,weight_spread,objective
proportional,20.0,0.2,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,20.0,0.2,3466.0,1465.356729428186,2000.643270571814,42.278036048130005,57.721963951869995,9.200000088750867,7224.190279199675
min_max,20.0,0.2,3466.0,1679.8291662554216,1786.1708337445782,48.46593093639416,51.534069063605834,9.200000087176823,14739.709014762404
equality_min,20.0,0.2,3466.0,1459.9224228481548,2006.0775771518454,42.12124705274538,57.87875294725463,9.001999860034738,11080.093581553376
jain,20.0,0.2,3466.0,1459.7145607170946,2006.2854392829054,42.11524987643089,57.884750123569106,9.199982112998802,12490.878742263054
proportional,20.0,0.5,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,20.0,0.5,3466.0,1465.4061815386972,2000.5938184613028,42.279462825698126,57.72053717430187,9.500000091864745,7394.517120696092
min_max,20.0,0.5,3466.0,1679.829166285509,1786.170833714491,48.465930937262236,51.534069062737764,9.500000106027093,15162.20415612617
equality_min,20.0,0.5,3466.0,1459.922422854026,2006.0775771459735,42.121247052914775,57.87875294708521,9.012492257297609,11090.669918077123
jain,20.0,0.5,3466.0,1459.7145620906103,2006.2854379093894,42.115249916059156,57.88475008394084,9.499982189220798,12832.601035414084
proportional,20.0,1.0,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,20.0,1.0,3466.0,1465.4834251315096,2000.5165748684904,42.281691434838706,57.718308565161294,10.000000097040738,7678.4039379456835
min_max,20.0,1.0,3466.0,1679.8291663531081,1786.170833646892,48.46593093921258,51.534069060787424,10.000000111077222,15866.237204946194
equality_min,20.0,1.0,3466.0,1459.9224228796697,2006.0775771203303,42.121247053654635,57.87875294634536,9.049875681355049,11128.352409784304
jain,20.0,1.0,3466.0,1459.7145640782815,2006.285435921718,42.11524997340685,57.88475002659313,9.999982312472282,13402.11747680479
proportional,50.0,0.05,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,50.0,0.05,3466.0,1465.3311010419711,2000.6688989580284,42.277296625561775,57.72270337443821,9.05000008719138,7139.015340593078
min_max,50.0,0.05,3466.0,1679.8291661467888,1786.170833853211,48.46593093325992,51.534069066740074,9.050000085630117,14528.466297400786
equality_min,50.0,0.05,3466.0,1459.9224228420248,2006.0775771579752,42.12124705256851,57.87875294743148,9.000125059204134,11078.203782301893
jain,50.0,0.05,3466.0,1459.7145602405337,2006.2854397594665,42.115249862681296,57.884750137318704,9.04998208214035,12320.11053621878
